,JASA,US,Equity,,,
,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
JASA,05/24/1996,13.625,13.875,13.625,13.875,300
JASA,05/28/1996,13.875,14,13.875,14,17000
JASA,05/29/1996,14.125,14.125,13.75,13.75,15000
JASA,05/30/1996,14,14.25,14,14.125,16900
JASA,05/31/1996,14.25,14.75,14.25,14.75,26900
JASA,06/03/1996,15,15.5,15,15.5,22200
JASA,06/04/1996,15.625,15.75,15.375,15.625,22200
JASA,06/05/1996,15.75,15.75,15,15.125,24600
JASA,06/06/1996,15.125,15.125,14.625,14.625,13300
JASA,06/07/1996,14.5,14.625,14.5,14.625,2400
JASA,06/10/1996,14.75,14.75,14.625,14.75,1800
JASA,06/11/1996,14.625,15.25,14.375,15.125,17900
JASA,06/12/1996,15.125,15.375,15,15.375,7400
JASA,06/13/1996,15.375,15.75,15,15.5,17100
JASA,06/14/1996,15.375,15.5,15.125,15.125,3800
JASA,06/17/1996,15,15.875,15,15.875,12100
JASA,06/18/1996,15.625,15.625,15.5,15.625,8600
JASA,06/19/1996,15.5,15.5,15.5,15.5,14900
JASA,06/20/1996,15.375,15.375,15.25,15.25,9700
JASA,06/21/1996,15.25,15.5,15.25,15.5,8000
JASA,06/24/1996,15.625,15.75,15.625,15.625,13300
JASA,06/25/1996,15.875,15.875,15.75,15.875,27700
JASA,06/26/1996,15.875,15.875,15.25,15.625,9100
JASA,06/27/1996,15.5,15.625,15.375,15.5,4600
JASA,06/28/1996,15.75,16.5,15.75,16.5,29200
JASA,07/01/1996,16.5,16.5,16.25,16.25,7600
JASA,07/02/1996,16.5,16.75,16.375,16.75,36200
JASA,07/03/1996,17,17,16.625,16.875,10100
JASA,07/05/1996,16.75,16.875,16.75,16.875,500
JASA,07/08/1996,16.875,17,16.5,16.625,10500
JASA,07/09/1996,16.5,16.5,16.25,16.25,900
JASA,07/10/1996,16.125,16.125,16,16.125,2400
JASA,07/11/1996,16.25,16.375,16.125,16.25,2000
JASA,07/12/1996,16.25,16.25,15.5,15.5,3600
JASA,07/15/1996,14.5,14.5,14.375,14.375,17300
JASA,07/16/1996,14.375,14.375,14.125,14.125,2100
JASA,07/17/1996,14.125,14.5,14.125,14.5,13300
JASA,07/18/1996,14.375,14.75,14.25,14.625,20700
JASA,07/19/1996,14.625,14.75,14.625,14.625,7000
JASA,07/22/1996,14.5,14.5,14.375,14.375,7900
JASA,07/23/1996,14.5,14.625,14.5,14.5,6000
JASA,07/24/1996,14.125,14.25,14.125,14.125,19000
JASA,07/25/1996,14.125,14.125,14.125,14.125,1000
JASA,07/26/1996,14.125,14.375,14.125,14.375,5600
JASA,07/29/1996,14.25,14.25,14.25,14.25,800
JASA,07/30/1996,14.375,14.375,14.375,14.375,3600
JASA,07/31/1996,14.625,15,14.625,14.875,8600
JASA,08/01/1996,15,15.375,15,15.375,11500
JASA,08/02/1996,15.25,15.375,15.125,15.25,17000
JASA,08/05/1996,15.375,15.375,15,15,18600
JASA,08/06/1996,15,15.125,15,15.125,1400
JASA,08/07/1996,15.125,15.125,15,15,153000
JASA,08/08/1996,14.75,14.75,14.625,14.625,1000
JASA,08/09/1996,14.625,14.625,14.5,14.5,2000
JASA,08/12/1996,14.375,14.375,14.25,14.25,900
JASA,08/13/1996,14.125,14.25,14.125,14.125,600
JASA,08/14/1996,14.125,14.25,14.125,14.25,1600
JASA,08/16/1996,14.125,14.25,14.125,14.25,500
JASA,08/19/1996,14.25,14.25,14.25,14.25,300
JASA,08/20/1996,14.25,14.25,14.25,14.25,8300
JASA,08/23/1996,14,14.0625,14,14.0625,1900
JASA,08/26/1996,14,14,13.5,13.9375,21300
JASA,08/27/1996,14,14.125,13.875,13.875,700
JASA,08/28/1996,13.75,13.75,13.75,13.75,300
JASA,08/29/1996,13.75,13.75,13.5,13.5,2400
JASA,08/30/1996,13.5,13.5,13.5,13.5,2300
JASA,09/03/1996,13.75,13.875,13.5,13.625,7400
JASA,09/04/1996,13.75,13.875,13.625,13.625,2700
JASA,09/05/1996,13.625,13.625,13.625,13.625,1200
JASA,09/06/1996,13.75,13.75,13.625,13.625,700
JASA,09/09/1996,13.625,13.625,13.375,13.5,3300
JASA,09/10/1996,13.5,13.625,13.375,13.5,13300
JASA,09/11/1996,13.5,13.5,12.625,12.625,16300
JASA,09/12/1996,12.75,12.75,12.625,12.625,1000
JASA,09/13/1996,12.625,12.75,12.5,12.5,6000
JASA,09/16/1996,12.75,12.75,12.625,12.625,12100
JASA,09/17/1996,12.75,12.75,12.75,12.75,5300
JASA,09/18/1996,12.625,13,12.625,12.875,1700
JASA,09/19/1996,12.875,12.875,12.875,12.875,2500
JASA,09/20/1996,13,13.375,12.875,13.375,21000
JASA,09/23/1996,13.375,13.375,13.375,13.375,7100
JASA,09/24/1996,13.375,13.375,13,13,5900
JASA,09/25/1996,12.875,12.875,12.75,12.75,1200
JASA,09/26/1996,12.625,12.875,12.625,12.875,300
JASA,09/27/1996,12.75,12.75,12.75,12.75,100
JASA,09/30/1996,12.75,13,12.75,12.875,2400
JASA,10/01/1996,13,13,12.875,12.875,2400
JASA,10/02/1996,12.875,13,12.875,13,500
JASA,10/03/1996,12.875,12.875,12.875,12.875,100
JASA,10/04/1996,13.125,13.375,13.125,13.375,7100
JASA,10/07/1996,13.5,13.5,13.125,13.25,7400
JASA,10/08/1996,13.125,13.5,13.125,13.5,10500
JASA,10/09/1996,13.375,13.375,13.375,13.375,500
JASA,10/10/1996,13.375,13.375,13.25,13.25,2000
JASA,10/11/1996,13.125,13.125,12.875,12.875,4500
JASA,10/14/1996,13.125,13.25,13.125,13.25,5800
JASA,10/15/1996,13.25,13.25,13.125,13.125,3900
JASA,10/16/1996,13,13.25,13,13.25,8800
JASA,10/17/1996,13.125,13.25,13.125,13.25,28000
JASA,10/18/1996,13.125,13.25,13.125,13.25,19800
JASA,10/21/1996,13.125,13.125,13.125,13.125,200
JASA,10/22/1996,13,13,12.75,12.75,36900
JASA,10/23/1996,12.875,12.875,12.875,12.875,700
JASA,10/24/1996,12.875,12.875,12.75,12.875,15100
JASA,10/25/1996,12.625,12.875,12.625,12.875,1400
JASA,10/28/1996,12.875,12.875,12.75,12.75,2200
JASA,10/29/1996,12.75,12.875,12.625,12.625,600
JASA,10/30/1996,12.75,12.875,12.75,12.875,1500
JASA,10/31/1996,12.875,13.125,12.875,13,25100
JASA,11/01/1996,12.75,13,12.75,13,3100
JASA,11/04/1996,13,13,13,13,1900
JASA,11/05/1996,12.875,13.125,12.875,13.125,5200
JASA,11/06/1996,13.25,13.75,13.25,13.5,19500
JASA,11/07/1996,13.5,13.5,13.375,13.375,3700
JASA,11/08/1996,13.375,13.375,13.25,13.25,800
JASA,11/11/1996,13.25,13.375,13.125,13.125,12100
JASA,11/12/1996,13.5,13.625,13.125,13.125,24600
JASA,11/13/1996,13.125,13.25,13.125,13.125,19900
JASA,11/14/1996,13.375,13.75,13.375,13.625,50500
JASA,11/15/1996,13.875,14.625,13.875,14.25,16400
JASA,11/18/1996,14.375,14.5,14.375,14.5,6900
JASA,11/19/1996,14.375,14.375,13.75,13.75,5700
JASA,11/20/1996,13.75,13.75,13.75,13.75,700
JASA,11/21/1996,13.875,14.375,13.875,14.375,21200
JASA,11/22/1996,14.375,14.5,14.375,14.5,5200
JASA,11/25/1996,14.375,14.875,14.25,14.875,25900
JASA,11/26/1996,14.75,14.875,14.75,14.875,11600
JASA,11/27/1996,14.875,15.375,14.875,15.375,12200
JASA,11/29/1996,15.25,15.625,15.25,15.5,9300
JASA,12/02/1996,15.5,15.875,15.5,15.875,16500
JASA,12/03/1996,16,17,16,16.875,13500
JASA,12/04/1996,16.75,16.875,16.5,16.5,6400
JASA,12/05/1996,16.375,16.5,16.375,16.375,11100
JASA,12/06/1996,16.25,16.375,16.25,16.375,2000
JASA,12/09/1996,16.375,16.75,16.375,16.75,3300
JASA,12/10/1996,16.75,16.75,16.5,16.5,6400
JASA,12/11/1996,16.375,16.5,16.375,16.5,1700
JASA,12/12/1996,16.625,16.625,16.25,16.25,4900
JASA,12/13/1996,16.375,16.375,16.25,16.25,3200
JASA,12/16/1996,16.25,16.625,16.25,16.625,7100
JASA,12/17/1996,16.625,16.75,16.625,16.75,1300
JASA,12/18/1996,16.75,16.75,16.625,16.625,3600
JASA,12/19/1996,16.625,16.75,16.625,16.625,7700
JASA,12/20/1996,16.625,16.625,16.25,16.625,5800
JASA,12/23/1996,16.5,16.5,16,16,3800
JASA,12/24/1996,15.875,15.875,15.875,15.875,300
JASA,12/26/1996,15.625,15.875,15.375,15.875,7100
JASA,12/27/1996,15.875,15.875,15.875,15.875,2800
JASA,12/30/1996,16,16,16,16,1500
JASA,12/31/1996,16,16.25,16,16.125,6500
JASA,01/02/1997,16.125,16.125,15.875,16.125,3400
JASA,01/03/1997,16.25,16.5,16.25,16.5,8700
JASA,01/06/1997,16.5,16.5,16.125,16.125,26400
JASA,01/07/1997,16.375,16.375,16,16,7400
JASA,01/08/1997,16.125,16.125,15.25,15.375,5600
JASA,01/09/1997,15.5,15.5,15.375,15.375,4600
JASA,01/10/1997,15.25,15.625,15.25,15.5,9400
JASA,01/13/1997,15.25,15.375,15.25,15.25,6300
JASA,01/14/1997,15.5,15.625,15.5,15.5,6800
JASA,01/15/1997,15.625,15.75,15.625,15.625,2400
JASA,01/16/1997,15.75,16,15.75,15.875,2600
JASA,01/17/1997,15.75,15.875,15.75,15.875,7000
JASA,01/20/1997,15.75,15.75,15.375,15.5,10500
JASA,01/21/1997,15.5,15.5,15.25,15.375,30900
JASA,01/22/1997,15.125,15.125,15.125,15.125,7400
JASA,01/23/1997,15.125,15.125,15,15,3300
JASA,01/24/1997,15,15.25,14.875,15.25,6200
JASA,01/27/1997,15.25,15.625,15.25,15.5,6200
JASA,01/28/1997,15.625,15.75,15.625,15.625,1400
JASA,01/29/1997,15.625,15.625,15.625,15.625,1000
JASA,01/30/1997,15.75,16.125,15.75,16.125,1200
JASA,01/31/1997,16.125,16.125,16,16,9100
JASA,02/04/1997,16.25,16.25,16.125,16.125,11500
JASA,02/05/1997,16.125,16.375,16.125,16.375,4600
JASA,02/06/1997,16.375,16.375,16.125,16.125,4500
JASA,02/07/1997,16.25,16.25,15.75,15.75,10600
JASA,02/10/1997,15.75,15.875,15.75,15.75,700
JASA,02/11/1997,15.875,15.875,15.875,15.875,800
JASA,02/12/1997,16,16.25,16,16.25,1900
JASA,02/13/1997,16.25,16.75,16.25,16.75,6400
JASA,02/14/1997,16.75,16.875,16.5,16.5,7100
JASA,02/18/1997,16.375,16.375,16.375,16.375,100
JASA,02/19/1997,16.25,16.25,16,16,1300
JASA,02/20/1997,16.25,16.25,16.125,16.125,7900
JASA,02/21/1997,16.125,16.125,15.75,16,4200
JASA,02/24/1997,15.75,16.375,15.75,16.25,3800
JASA,02/25/1997,16.25,16.25,16.25,16.25,1000
JASA,02/26/1997,16.25,16.5,16.25,16.25,10700
JASA,02/27/1997,16.25,16.5,16.25,16.5,3900
JASA,02/28/1997,16.375,16.5,16.375,16.375,6100
JASA,03/03/1997,16.375,16.5,16.375,16.5,3800
JASA,03/04/1997,16.625,16.875,16.5,16.875,17800
JASA,03/05/1997,17,17.5,16.875,17.375,30900
JASA,03/06/1997,17.5,18.25,17.5,18,8700
JASA,03/07/1997,18.125,18.25,17.875,17.875,5200
JASA,03/10/1997,17.875,17.875,17.125,17.5,16900
JASA,03/11/1997,17.5,18,17.375,18,12300
JASA,03/12/1997,18,18.375,17.875,18.375,6200
JASA,03/13/1997,18.375,18.75,18.25,18.25,11800
JASA,03/14/1997,18.75,19.125,18.75,18.875,30000
JASA,03/17/1997,19.25,19.25,18.875,19.125,26700
JASA,03/18/1997,19.25,19.375,19,19.125,8900
JASA,03/19/1997,19.25,19.25,18.75,18.75,5200
JASA,03/20/1997,18.625,18.75,18.625,18.625,2700
JASA,03/21/1997,18.25,19,18.25,18.875,13400
JASA,03/24/1997,19.125,19.375,19.125,19.125,12000
JASA,03/25/1997,19,19,19,19,8100
JASA,03/26/1997,18.75,18.875,18.625,18.625,5900
JASA,03/27/1997,18.625,18.625,18.5,18.625,5000
JASA,03/31/1997,18.5,18.625,18.5,18.625,5600
JASA,04/01/1997,18.5,18.625,18.375,18.375,2800
JASA,04/02/1997,18.375,18.5,18.125,18.125,9000
JASA,04/03/1997,18.25,18.625,18.25,18.5,11400
JASA,04/04/1997,18.75,18.875,18.625,18.875,5200
JASA,04/07/1997,18.625,18.875,18.625,18.875,2000
JASA,04/08/1997,18.75,18.875,18.375,18.375,26200
JASA,04/09/1997,18.375,18.625,18.375,18.375,6400
JASA,04/10/1997,18.5,18.625,18.5,18.5,4300
JASA,04/11/1997,18.25,18.625,18.25,18.5,8200
JASA,04/14/1997,18.5,18.625,18.375,18.625,3000
JASA,04/15/1997,18.625,18.75,18.5,18.5,10400
JASA,04/16/1997,18.375,18.625,18.375,18.625,2300
JASA,04/17/1997,18.625,18.875,18.625,18.75,4300
JASA,04/18/1997,18.75,19.125,18.75,19.125,14400
JASA,04/21/1997,19.25,19.375,19,19.25,13700
JASA,04/22/1997,19.375,19.375,19,19,2300
JASA,04/23/1997,19.125,19.5,19.125,19.375,13800
JASA,04/24/1997,19.5,19.875,19.5,19.875,44200
JASA,04/25/1997,19.625,19.625,19.5,19.5,5000
JASA,04/28/1997,19.5,19.625,19.375,19.5,5900
JASA,04/29/1997,19.75,19.875,19.75,19.75,2100
JASA,04/30/1997,19.875,20.25,19.875,20.125,24000
JASA,05/01/1997,20.125,20.875,20.125,20.75,32900
JASA,05/02/1997,21,23,21,23,64100
JASA,05/05/1997,23,23,22.25,22.375,69700
JASA,05/06/1997,22.5,22.5,22.125,22.25,10900
JASA,05/07/1997,22.375,22.375,22.25,22.375,8200
JASA,05/08/1997,22.375,22.375,22.125,22.125,73000
JASA,05/09/1997,22.125,22.375,22.125,22.125,75300
JASA,05/12/1997,22.125,22.25,21.875,21.875,5000
JASA,05/13/1997,21.75,22,21.5,21.75,11600
JASA,05/14/1997,21.75,21.75,21.5,21.5,6700
JASA,05/15/1997,21.375,21.375,21.125,21.25,4600
JASA,05/16/1997,21.375,21.375,21.125,21.125,4400
JASA,05/19/1997,21.625,21.625,21.5,21.5,13500
JASA,05/20/1997,22.5,23,22.5,22.75,79700
JASA,05/21/1997,22.875,23,22.875,23,69800
JASA,05/22/1997,22.875,23.25,22.875,23.125,11500
JASA,05/23/1997,23.125,23.375,23.125,23.375,20700
JASA,05/27/1997,23.625,23.75,23,23,41700
JASA,05/28/1997,23.25,23.375,23.125,23.125,7100
JASA,05/29/1997,23.25,23.5,23,23.5,18900
JASA,05/30/1997,23.5,23.875,23,23.5,47200
JASA,06/02/1997,23,23.5,23,23,56200
JASA,06/03/1997,23,23.375,23,23.375,40400
JASA,06/04/1997,23.5,24,23.375,23.625,11800
JASA,06/05/1997,23.75,23.75,23.625,23.75,4800
JASA,06/06/1997,23.875,23.875,23.625,23.75,14200
JASA,06/09/1997,24,24,23.5,23.625,91400
JASA,06/10/1997,23.5,23.75,23.375,23.625,63300
JASA,06/11/1997,23.75,24,23.75,24,20100
JASA,06/12/1997,24,24.25,23.75,24.25,41200
JASA,06/13/1997,24.5,24.625,24.5,24.625,24200
JASA,06/16/1997,24.625,24.875,24.5,24.625,14600
JASA,06/17/1997,24.75,25.25,24.625,25.125,28200
JASA,06/18/1997,25.25,25.375,25.125,25.25,22500
JASA,06/19/1997,25.25,25.625,25.125,25.625,31700
JASA,06/20/1997,24.75,25.25,24.75,25.125,36800
JASA,06/23/1997,25.25,25.625,25.25,25.5,13800
JASA,06/24/1997,25.75,25.875,25.6875,25.875,10600
JASA,06/25/1997,25.875,26.5,25.875,26.375,35000
JASA,06/26/1997,26.375,26.375,26,26.3125,10500
JASA,06/27/1997,26.375,26.375,26.375,26.375,1800
JASA,06/30/1997,26.375,27.25,26.375,27.25,9700
JASA,07/01/1997,27.25,27.25,27,27.0625,20700
JASA,07/02/1997,27,27.0625,27,27,14700
JASA,07/03/1997,27.125,27.125,27,27,1800
JASA,07/07/1997,26.875,27,26.75,26.75,7200
JASA,07/08/1997,26.625,27.5,26.625,27.5,24000
JASA,07/09/1997,27.5,27.5,27.25,27.25,11200
JASA,07/10/1997,27.25,27.375,27.125,27.375,61000
JASA,07/11/1997,27.375,27.5625,27.3125,27.3125,6300
JASA,07/14/1997,27.375,27.5625,27.375,27.5,4400
JASA,07/15/1997,27.5,27.5625,27.375,27.5,1400
JASA,07/16/1997,27.5,27.5625,27.5,27.5625,2200
JASA,07/17/1997,27.5625,27.5625,27.3125,27.3125,2000
JASA,07/18/1997,27.1875,27.8125,26.75,27.25,14300
JASA,07/21/1997,27.25,27.25,26.625,26.75,3100
JASA,07/22/1997,26.8125,26.9375,26.625,26.9375,11100
JASA,07/23/1997,26.3125,26.5625,26.3125,26.5625,8800
JASA,07/24/1997,26.5,26.5,26.1875,26.3125,17500
JASA,07/25/1997,26.3125,26.375,26.1875,26.25,12900
JASA,07/28/1997,26.5,26.5,26.4375,26.4375,2300
JASA,07/29/1997,26.625,26.625,26.5625,26.625,1100
JASA,07/30/1997,26.5625,26.75,26.1875,26.25,18200
JASA,07/31/1997,26.375,26.375,26.0625,26.0625,24300
JASA,08/01/1997,26.0625,26.5,26.0625,26.5,3100
JASA,08/04/1997,26.375,26.4375,25.8125,25.9375,35200
JASA,08/05/1997,26,26,25.625,25.8125,34650
JASA,08/06/1997,25.75,26.1875,25.75,25.75,27400
JASA,08/07/1997,25.75,25.75,25.25,25.3125,2700
JASA,08/08/1997,25.1875,25.1875,24.4375,24.8125,12500
JASA,08/11/1997,24.375,24.375,24,24.0625,9700
JASA,08/12/1997,24,24.125,24,24.0625,1800
JASA,08/13/1997,24.0625,24.0625,24.0625,24.0625,1700
JASA,08/14/1997,24.0625,24.125,23.5625,23.75,8600
JASA,08/15/1997,23.25,23.5,23.25,23.4375,6400
JASA,08/18/1997,23.4375,23.5,23.4375,23.5,1900
JASA,08/19/1997,23.6875,24.125,23.5,23.75,12400
JASA,08/20/1997,23.8125,25,23.8125,25,24300
JASA,08/21/1997,25.125,25.125,24.625,24.8125,5400
JASA,08/22/1997,24.75,24.75,24.25,24.375,2400
JASA,08/25/1997,24.375,24.375,24.25,24.3125,1800
JASA,08/26/1997,24.3125,24.3125,23.9375,23.9375,15000
JASA,08/27/1997,23.9375,24.1875,23.9375,24.1875,15900
JASA,08/28/1997,24.25,24.5,24.1875,24.375,19600
JASA,08/29/1997,24.375,24.4375,24.3125,24.375,5000
JASA,09/02/1997,24.375,24.5625,24.3125,24.3125,4800
JASA,09/03/1997,24.375,24.375,24.1875,24.25,1700
JASA,09/04/1997,24.25,24.25,24,24.1875,12500
JASA,09/05/1997,24.1875,24.5625,24,24.4375,6700
JASA,09/08/1997,24.1875,24.5625,24.1875,24.5625,3700
JASA,09/09/1997,24.4375,24.8125,24.3125,24.75,4600
JASA,09/10/1997,24.8125,25,24.8125,25,1500
JASA,09/11/1997,25.125,25.125,24.3125,24.5,6300
JASA,09/12/1997,24.75,25.1875,24.625,25.1875,5300
JASA,09/15/1997,25.3125,25.3125,24.6875,24.6875,7500
JASA,09/16/1997,24.5,24.5625,24.4375,24.5,8700
JASA,09/17/1997,24.5,24.5,23.875,24.25,11100
JASA,09/18/1997,24.125,24.5,23.75,23.9375,41600
JASA,09/19/1997,23.75,23.9375,23.625,23.8125,51400
JASA,09/22/1997,23.875,24.25,23.875,24.1875,5400
JASA,09/23/1997,24.25,24.25,23.5,23.9375,16800
JASA,09/24/1997,23.6875,24,23.6875,23.9375,3700
JASA,09/25/1997,23.875,24,23.875,24,700
JASA,09/26/1997,23.875,23.9375,23.875,23.875,4200
JASA,09/29/1997,23.8125,23.875,23.125,23.625,43300
JASA,09/30/1997,23.4375,23.4375,22.875,23.125,104400
JASA,10/01/1997,23.1875,23.5,23.1875,23.5,90600
JASA,10/02/1997,23.625,23.6875,23.5,23.5,29000
JASA,10/03/1997,23.5625,23.75,23.25,23.5625,42400
JASA,10/06/1997,23.6875,23.9375,23.625,23.875,6500
JASA,10/07/1997,23.75,23.9375,23.75,23.8125,8200
JASA,10/08/1997,23.9375,24.375,23.75,24.125,21700
JASA,10/09/1997,24.25,24.375,24.125,24.25,15700
JASA,10/10/1997,24.3125,24.5,24.0625,24.1875,4800
JASA,10/13/1997,24.1875,24.1875,23.875,23.875,11600
JASA,10/14/1997,23.8125,24,23.8125,24,9200
JASA,10/15/1997,23.9375,24,23.9375,24,2200
JASA,10/16/1997,23.875,24.125,23.5,23.5,6800
JASA,10/17/1997,23.25,23.5,23,23.1875,18200
JASA,10/20/1997,23.3125,23.3125,22.8125,22.8125,8400
JASA,10/21/1997,22.8125,23.0625,22.8125,23.0625,43100
JASA,10/22/1997,23,23.5,23,23.3125,9200
JASA,10/23/1997,23.25,23.375,23.125,23.1875,5200
JASA,10/24/1997,23.4375,23.5,23.375,23.375,5900
JASA,10/27/1997,23.3125,23.3125,22.75,22.75,9100
JASA,10/28/1997,22.75,22.9375,22.625,22.625,12500
JASA,10/29/1997,22.75,23,22.5625,22.6875,19300
JASA,10/30/1997,22.625,22.75,22.25,22.25,8600
JASA,10/31/1997,22.25,22.3125,21.5625,21.625,21700
JASA,11/03/1997,21.625,21.6875,21.1875,21.5625,33500
JASA,11/04/1997,21.4375,21.75,21.4375,21.75,7600
JASA,11/05/1997,21.6875,21.75,21.5625,21.6875,6300
JASA,11/06/1997,21.75,21.75,21.375,21.375,7400
JASA,11/07/1997,21.375,21.4375,20.9375,21,10200
JASA,11/10/1997,21.125,21.125,20.625,20.75,9300
JASA,11/11/1997,20.75,20.9375,20.75,20.9375,6600
JASA,11/12/1997,21,21,20.8125,20.8125,13900
JASA,11/13/1997,20.8125,21,20.8125,20.875,21800
JASA,11/14/1997,20.875,20.9375,20.75,20.875,16500
JASA,11/17/1997,20.875,21,20.875,21,12200
JASA,11/18/1997,21,21,20.5,20.875,39800
JASA,11/19/1997,20.9375,20.9375,20.25,20.25,22100
JASA,11/20/1997,20.25,20.75,20.25,20.75,7700
JASA,11/21/1997,20.75,20.75,20.25,20.6875,152100
JASA,11/24/1997,20.875,20.9375,20.75,20.875,14700
JASA,11/25/1997,20.9375,20.9375,20.625,20.75,8800
JASA,11/26/1997,20.875,21,20.4375,20.9375,15400
JASA,11/28/1997,20.9375,21,20.9375,20.9375,8100
JASA,12/01/1997,21,21,20.25,20.4375,11300
JASA,12/02/1997,20.3125,20.3125,19.875,20.1875,38600
JASA,12/03/1997,20.125,20.5,20.125,20.5,8800
JASA,12/04/1997,20.5625,20.5625,20.5625,20.5625,1100
JASA,12/05/1997,20.5,21,20.5,20.9375,22800
JASA,12/08/1997,20.9375,21.5,20.9375,21.5,17200
JASA,12/09/1997,21.5,21.6875,21.3125,21.375,10600
JASA,12/10/1997,21,21,20.625,20.625,12800
JASA,12/11/1997,20.3125,20.75,20.3125,20.75,7100
JASA,12/12/1997,20.8125,21,20.75,21,4000
JASA,12/15/1997,21,21,20.5,20.9375,319900
JASA,12/16/1997,21,21,20.75,21,7400
JASA,12/17/1997,21,21.5,21,21.3125,5200
JASA,12/18/1997,21.375,21.75,21.375,21.6875,16300
JASA,12/19/1997,21.625,21.75,21.5625,21.625,78500
JASA,12/22/1997,21.5,21.6875,21.5,21.6875,6800
JASA,12/23/1997,21.75,21.8125,21.6875,21.75,39700
JASA,12/24/1997,21.75,21.75,21.625,21.625,2000
JASA,12/29/1997,21.625,21.8125,21.625,21.8125,3300
JASA,12/30/1997,21.8125,22.1875,21.8125,22.125,7000
JASA,12/31/1997,22.0625,22.375,22,22.3125,5700
JASA,01/02/1998,22.375,22.4375,22.25,22.4375,5700
JASA,01/05/1998,22.375,22.625,22.1875,22.625,11100
JASA,01/06/1998,22.625,22.6875,22.4375,22.4375,2100
JASA,01/07/1998,22.4375,22.6875,22.4375,22.6875,3500
JASA,01/08/1998,22.8125,22.875,22.8125,22.875,1000
JASA,01/09/1998,22.625,22.625,22.5,22.5,1200
JASA,01/12/1998,22.4375,22.4375,22.3125,22.3125,1800
JASA,01/13/1998,22.4375,22.4375,22,22.125,11400
JASA,01/14/1998,22.0625,22.1875,22.0625,22.125,4000
JASA,01/15/1998,22.125,22.5,22.125,22.4375,3000
JASA,01/16/1998,22.5,23,22.5,23,6700
JASA,01/20/1998,23.25,23.375,23.1875,23.375,7300
JASA,01/21/1998,23.25,23.3125,23.25,23.3125,4400
JASA,01/22/1998,23.3125,23.5625,23.3125,23.5625,6200
JASA,01/23/1998,23.5,23.625,23.5,23.5625,3800
JASA,01/26/1998,23.6875,23.6875,23.4375,23.5,6300
JASA,01/27/1998,23.4375,25,23.4375,25,23100
JASA,01/28/1998,24.9375,24.9375,24.5625,24.5625,5000
JASA,01/29/1998,24.5,24.5,24.25,24.4375,3400
JASA,01/30/1998,24.375,24.4375,24.375,24.375,1300
JASA,02/02/1998,24.5,24.6875,24.25,24.5,26100
JASA,02/03/1998,24.5,25,24.5,24.8125,32100
JASA,02/04/1998,24.75,25.125,24.75,25.0625,17900
JASA,02/05/1998,25,25.125,25,25.125,11200
JASA,02/06/1998,25.125,25.125,24.9375,25,6600
JASA,02/09/1998,25.125,25.3125,25.125,25.125,7600
JASA,02/10/1998,25.25,25.5,25.25,25.25,3100
JASA,02/11/1998,25.5,25.5,25.25,25.4375,3200
JASA,02/12/1998,25.3125,25.5,25.3125,25.375,6900
JASA,02/13/1998,25.3125,25.875,25.3125,25.875,5400
JASA,02/17/1998,25.8125,26.125,25.8125,25.9375,5900
JASA,02/18/1998,26.125,26.75,26.125,26.625,18800
JASA,02/19/1998,26.4375,26.875,26.4375,26.875,7500
JASA,02/20/1998,26.75,27.1875,26.75,27.1875,11600
JASA,02/23/1998,27.1875,27.625,27.1875,27.625,10000
JASA,02/24/1998,27.6875,29.25,27.625,29.25,20200
JASA,02/25/1998,29.25,29.75,29.125,29.75,12600
JASA,02/26/1998,29.6875,30.125,29.625,30.125,7900
JASA,02/27/1998,30.25,30.25,30,30.25,6600
JASA,03/02/1998,30.25,30.625,30.0625,30.625,17700
JASA,03/03/1998,30.625,31,30.25,30.375,10000
JASA,03/04/1998,30.25,30.25,29.75,29.75,6900
JASA,03/05/1998,29.5,29.5,28,28,17600
JASA,03/06/1998,28,28.3125,28,28.125,3600
JASA,03/09/1998,28.125,28.25,27.9375,27.9375,5800
JASA,03/10/1998,27.8125,27.9375,27.8125,27.9375,17000
JASA,03/11/1998,27.9375,27.9375,27.375,27.75,13100
JASA,03/12/1998,27.8125,27.8125,27.75,27.8125,5600
JASA,03/13/1998,27.875,28,27.8125,28,8700
JASA,03/16/1998,27.9375,28.5,27.9375,28.5,20000
JASA,03/17/1998,28.6875,29.375,28.6875,29.25,8400
JASA,03/18/1998,29.25,29.5625,29.25,29.5625,6600
JASA,03/19/1998,29.6875,30.1875,29.6875,30.125,11400
JASA,03/20/1998,30.0625,30.1875,29.9375,30.125,11500
JASA,03/23/1998,30.3125,30.3125,30.1875,30.1875,400
JASA,03/24/1998,30.25,30.3125,30.0625,30.1875,7900
JASA,03/25/1998,30.4375,31.0625,30.375,30.9375,37200
JASA,03/26/1998,30.9375,31.0625,30.875,31.0625,20100
JASA,03/27/1998,31.875,31.875,31,31,16500
JASA,03/30/1998,31.25,31.3125,31.0625,31.125,3900
JASA,03/31/1998,31.0625,31.1875,31,31.125,3500
JASA,04/01/1998,31.125,31.1875,31.0625,31.1875,5900
JASA,04/02/1998,31.1875,31.1875,31.125,31.125,8500
JASA,04/03/1998,31,31,30.9375,30.9375,7200
JASA,04/06/1998,30.75,30.75,30.5,30.5,7500
JASA,04/07/1998,30.5,30.5,30.1875,30.375,12200
