,JASA,US,Equity,,,
,Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
JASA,08/04/2000,7.25,7.25,7,7.1875,9100
JASA,08/07/2000,7.125,7.25,7,7.25,12300
JASA,08/08/2000,7.1875,7.1875,7.0625,7.0625,15500
JASA,08/09/2000,7.0625,7.0625,6.9375,7.0625,8300
JASA,08/10/2000,7,7.125,7,7.0625,3800
JASA,08/11/2000,7.0625,7.0625,6.8125,6.9375,25900
JASA,08/14/2000,7.0625,7.125,7.0625,7.125,2400
JASA,08/15/2000,7.0625,7.125,7.0625,7.0625,11900
JASA,08/16/2000,7.0625,7.1875,7,7.1875,7300
JASA,08/17/2000,7.125,7.125,7.0625,7.125,300
JASA,08/18/2000,7.125,7.125,7,7.0625,9200
JASA,08/21/2000,7,7,6.9375,6.9375,2000
JASA,08/22/2000,6.875,6.9375,6.875,6.9375,1000
JASA,08/23/2000,6.9375,7,6.9375,6.9375,1900
JASA,08/24/2000,6.9375,7,6.9375,6.9375,4800
JASA,08/25/2000,6.9375,6.9375,6.8125,6.8125,7200
JASA,08/28/2000,6.8125,6.8125,6.75,6.75,68300
JASA,08/29/2000,6.75,6.75,6.6875,6.75,9500
JASA,08/30/2000,6.6875,6.6875,6.625,6.625,23200
JASA,08/31/2000,6.5625,6.5625,6.5625,6.5625,5200
JASA,09/01/2000,6.5625,6.6875,6.5625,6.6875,7000
JASA,09/05/2000,6.6875,6.75,6.625,6.75,3600
JASA,09/06/2000,6.75,6.8125,6.625,6.625,3700
JASA,09/07/2000,6.625,6.875,6.625,6.875,1400
JASA,09/08/2000,6.9375,6.9375,6.5,6.5625,9900
JASA,09/11/2000,6.625,6.625,6.5625,6.5625,16900
JASA,09/12/2000,6.625,6.625,6.5625,6.5625,10600
JASA,09/13/2000,6.5,6.5625,6.4375,6.5625,20000
JASA,09/14/2000,6.5625,6.5625,6.5,6.5,10800
JASA,09/15/2000,6.3125,6.5,6.25,6.25,15500
JASA,09/18/2000,6.25,6.5625,6.25,6.25,7500
JASA,09/19/2000,6.3125,6.3125,6.1875,6.1875,7200
JASA,09/20/2000,6.25,6.25,6,6.1875,21000
JASA,09/21/2000,6.125,6.25,6.125,6.25,10500
JASA,09/22/2000,6.25,6.25,6.1875,6.1875,10900
JASA,09/25/2000,6.1875,6.3125,6.1875,6.25,11700
JASA,09/26/2000,6.25,6.375,6.125,6.375,11700
JASA,09/27/2000,6.4375,6.5,6.4375,6.4375,17800
JASA,09/28/2000,6.5625,6.75,6.5625,6.75,5800
JASA,09/29/2000,6.875,7.25,6.875,7.25,75000
JASA,10/02/2000,7.375,7.4375,7.3125,7.4375,18700
JASA,10/03/2000,7.4375,7.5,7.375,7.5,4300
JASA,10/04/2000,7.5,7.5,7.375,7.4375,7500
JASA,10/05/2000,7.4375,7.4375,7.375,7.375,8000
JASA,10/06/2000,7.375,7.375,7.375,7.375,3500
JASA,10/09/2000,7.375,7.375,7.375,7.375,12400
JASA,10/10/2000,7.375,7.375,7.1875,7.375,6400
JASA,10/11/2000,7.375,7.375,7.1875,7.3125,3900
JASA,10/12/2000,7.3125,7.3125,7.3125,7.3125,4400
JASA,10/13/2000,7.3125,7.3125,7.0625,7.0625,10100
JASA,10/16/2000,7.0625,7.0625,7.0625,7.0625,3500
JASA,10/17/2000,7.0625,7.0625,7,7.0625,6000
JASA,10/18/2000,7.0625,7.0625,7,7,26800
JASA,10/19/2000,7,7,6.9375,6.9375,4000
JASA,10/20/2000,6.875,6.875,6.625,6.875,2600
JASA,10/23/2000,6.75,6.875,6.75,6.875,1300
JASA,10/24/2000,6.8125,6.8125,6.75,6.75,2200
JASA,10/25/2000,6.75,6.75,6.5,6.5625,5300
JASA,10/26/2000,6.5,6.5,6.5,6.5,1500
JASA,10/27/2000,6.5,6.5,6.3125,6.5,1000
JASA,10/30/2000,6.4375,6.4375,6.25,6.4375,5200
JASA,10/31/2000,6.5625,6.5625,6.4375,6.5,9600
JASA,11/01/2000,6.5,6.5,6.5,6.5,13000
JASA,11/02/2000,6.4375,6.4375,6.4375,6.4375,4400
JASA,11/03/2000,6.5,6.5,6.4375,6.4375,7500
JASA,11/06/2000,6.4375,6.4375,6.4375,6.4375,9500
JASA,11/07/2000,6.4375,6.4375,6.25,6.4375,1000
JASA,11/08/2000,6.4375,6.4375,6.4375,6.4375,500
JASA,11/09/2000,6.4375,6.4375,6.25,6.4375,2400
JASA,11/10/2000,6.4375,6.4375,6.3125,6.4375,10200
JASA,11/13/2000,6.5,6.5,6.3125,6.4375,14500
JASA,11/14/2000,6.5,6.5,6.4375,6.4375,7900
JASA,11/15/2000,6.4375,6.4375,6.4375,6.4375,2300
JASA,11/16/2000,6.4375,6.5,6.3125,6.5,4600
JASA,11/17/2000,6.5,6.5,6.5,6.5,2300
JASA,11/20/2000,6.5,6.5625,6.5,6.5625,1400
JASA,11/21/2000,6.5625,6.625,6.5625,6.625,1400
JASA,11/22/2000,6.6875,6.875,6.6875,6.875,89900
JASA,11/24/2000,6.875,6.875,6.8125,6.875,2300
JASA,11/27/2000,6.875,6.875,6.75,6.875,2900
JASA,11/28/2000,6.875,7,6.875,7,12400
JASA,11/29/2000,7,7.125,6.9375,7.125,5300
JASA,11/30/2000,7.0625,7.0625,6.9375,7,14100
JASA,12/01/2000,7,7.125,7,7.125,3100
JASA,12/04/2000,7.125,7.25,7.125,7.1875,6100
JASA,12/05/2000,7.1875,7.25,7.1875,7.1875,3800
JASA,12/06/2000,7.1875,7.1875,7.1875,7.1875,1600
JASA,12/07/2000,7.1875,7.1875,7.0625,7.125,2800
JASA,12/08/2000,7.125,7.125,7,7.125,1000
JASA,12/11/2000,7.125,7.125,6.875,7.125,25000
JASA,12/12/2000,7.125,7.125,6.9375,7.0625,8200
JASA,12/13/2000,7,7.0625,7,7.0625,14400
JASA,12/14/2000,7.0625,7.125,6.75,6.9375,53900
JASA,12/15/2000,6.9375,6.9375,6.8125,6.9375,14600
JASA,12/18/2000,7,7,6.875,6.9375,6400
JASA,12/19/2000,6.9375,7,6.9375,6.9375,900
JASA,12/20/2000,6.875,7.0625,6.875,7,9400
JASA,12/21/2000,7,7,6.75,6.8125,9900
JASA,12/22/2000,6.9375,6.9375,6.8125,6.8125,16000
JASA,12/26/2000,6.9375,6.9375,6.75,6.75,15400
JASA,12/27/2000,6.75,6.8125,6.625,6.625,7100
JASA,12/28/2000,6.625,6.6875,6.5,6.5625,6900
JASA,12/29/2000,6.5625,6.625,6.5,6.5625,7500
JASA,01/02/2001,6.6875,6.6875,6.625,6.625,700
JASA,01/03/2001,6.625,6.625,6.625,6.625,1800
JASA,01/04/2001,6.6875,6.6875,6.4375,6.4375,6800
JASA,01/05/2001,6.5,6.5,6,6.3125,24200
JASA,01/08/2001,6.4375,6.4375,6,6.0625,27000
JASA,01/09/2001,6.125,6.125,6,6.0625,6900
JASA,01/10/2001,6,6,5.75,5.875,8400
JASA,01/11/2001,5.75,6,5.75,5.8125,2900
JASA,01/12/2001,5.875,6,5.875,6,29100
JASA,01/16/2001,5.875,6,5.875,5.875,5200
JASA,01/17/2001,6,6.125,6,6.125,21900
JASA,01/18/2001,6.1875,6.25,6.1875,6.25,2400
JASA,01/19/2001,6.25,6.25,6,6,23600
JASA,01/22/2001,6,6,5.875,5.875,25500
JASA,01/23/2001,5.9375,5.9375,5.9375,5.9375,3400
JASA,01/24/2001,5.875,5.9375,5.875,5.875,6100
JASA,01/25/2001,5.75,5.8125,5.75,5.75,11200
JASA,01/26/2001,5.8125,5.8125,5.625,5.625,1700
JASA,01/29/2001,5.75,5.76,5.75,5.76,9900
JASA,01/30/2001,5.75,5.75,5.5,5.5,6100
JASA,01/31/2001,5.6,5.66,5.59,5.6,2200
JASA,02/01/2001,5.7,5.74,5.64,5.74,22700
JASA,02/02/2001,5.74,5.74,5.65,5.74,12500
JASA,02/05/2001,5.6,5.6,5.48,5.55,35100
JASA,02/06/2001,5.6,5.6,5.5,5.54,11600
JASA,02/07/2001,5.54,5.55,5.54,5.54,19500
JASA,02/08/2001,5.54,5.6,5.54,5.6,9900
JASA,02/09/2001,5.5,5.5,5.3,5.3,28500
JASA,02/12/2001,5.4,5.44,5.3,5.4,10600
JASA,02/13/2001,5.4,5.55,5.3,5.3,18000
JASA,02/14/2001,5.4,5.5,5.37,5.5,11500
JASA,02/15/2001,5.55,5.55,5.51,5.54,7300
JASA,02/16/2001,5.54,5.55,5.54,5.55,4600
JASA,02/20/2001,5.56,5.59,5.55,5.56,21800
JASA,02/21/2001,5.56,5.56,5.5,5.55,10900
JASA,02/22/2001,5.56,5.56,5.56,5.56,1400
JASA,02/23/2001,5.52,5.6,5.52,5.6,51800
JASA,02/26/2001,5.5,5.7,5.5,5.6,8100
JASA,02/27/2001,5.5,5.5,5.25,5.25,8300
JASA,02/28/2001,5.25,5.25,5.16,5.25,13800
JASA,03/01/2001,5.4,5.4,5.35,5.4,2700
JASA,03/02/2001,5.5,5.5,5.5,5.5,1000
JASA,03/05/2001,5.5,5.5,5.3,5.4,7000
JASA,03/06/2001,5.35,5.45,5.3,5.35,5700
JASA,03/07/2001,5.45,5.5,5.45,5.5,6600
JASA,03/08/2001,5.41,5.45,5.3,5.3,3900
JASA,03/09/2001,5.3,5.4,5.3,5.4,900
JASA,03/12/2001,5.5,5.5,5.42,5.42,1100
JASA,03/13/2001,5.5,5.5,5.15,5.15,30700
JASA,03/14/2001,5,5,4.25,4.3,23500
JASA,03/15/2001,4.4,4.4,3.94,4,57100
JASA,03/16/2001,4,4.04,3.9,3.9,42700
JASA,03/19/2001,3.9,3.99,3.9,3.99,52000
JASA,03/20/2001,3.99,4.4,3.99,4.4,71700
JASA,03/21/2001,4.4,4.4,4.32,4.4,1900
JASA,03/22/2001,4.25,4.43,4.25,4.43,2700
JASA,03/23/2001,4.43,4.48,4.25,4.35,3100
JASA,03/26/2001,4.45,4.55,4.44,4.55,1600
JASA,03/27/2001,4.55,4.55,4,4.48,165100
JASA,03/28/2001,4.6,4.6,4.35,4.35,10800
JASA,03/29/2001,4.35,4.35,4.35,4.35,35900
JASA,03/30/2001,4.35,4.4,4.35,4.4,19200
JASA,04/02/2001,4.41,4.41,4.05,4.05,37000
JASA,04/03/2001,4,4.25,4,4.15,13800
JASA,04/04/2001,4.1,4.1,3.9,4,10900
JASA,04/05/2001,3.95,4.01,3.86,4.01,19700
JASA,04/06/2001,4.11,4.14,3.1,4.05,549200
JASA,04/09/2001,3.85,3.95,3.85,3.95,11900
JASA,04/10/2001,3.95,4,3.95,4,1800
JASA,04/11/2001,4,4,4,4,500
JASA,04/12/2001,4.1,4.1,4.07,4.07,82000
JASA,04/16/2001,4.12,4.12,4.04,4.04,29200
JASA,04/17/2001,4.14,4.14,4.09,4.09,5300
JASA,04/18/2001,4.09,4.09,3.93,4,27800
JASA,04/19/2001,4.05,4.15,4,4.14,3500
JASA,04/20/2001,4.15,4.15,4,4.15,7900
JASA,04/23/2001,4.14,4.14,4,4.04,2800
JASA,04/24/2001,4,4.05,3.91,4,8800
JASA,04/25/2001,3.95,4,3.95,4,1700
JASA,04/26/2001,3.95,4.09,3.95,4.09,1600
JASA,04/27/2001,4.1,4.15,4.05,4.15,4600
JASA,04/30/2001,4.2,4.2,4.15,4.2,19000
JASA,05/01/2001,4.19,4.19,4.19,4.19,1700
JASA,05/02/2001,4.2,4.3,4.19,4.29,8900
JASA,05/03/2001,4.35,4.4,4.2,4.4,5400
JASA,05/04/2001,4.5,4.5,4.45,4.45,1900
JASA,05/07/2001,4.55,4.55,4.15,4.2,21900
JASA,05/08/2001,4.2,4.35,4.2,4.35,2400
JASA,05/09/2001,4.45,4.45,4.25,4.3,3200
JASA,05/10/2001,4.28,4.32,4.28,4.3,1300
JASA,05/11/2001,4.4,4.4,4.25,4.29,6400
JASA,05/14/2001,4.29,4.39,4.29,4.38,1900
JASA,05/15/2001,4.39,4.39,4.39,4.39,200
JASA,05/16/2001,4.38,4.39,4.3,4.35,700
JASA,05/18/2001,4.35,4.4,4.25,4.3,2200
JASA,05/21/2001,4.2,4.35,4.2,4.33,15700
JASA,05/22/2001,4.35,4.4,4.34,4.35,21300
JASA,05/23/2001,4.35,4.45,4.11,4.35,41000
JASA,05/24/2001,4.35,4.45,4.3,4.4,17600
JASA,05/25/2001,4.45,4.45,4.41,4.45,2700
JASA,05/29/2001,4.55,4.55,4.5,4.5,5500
JASA,05/30/2001,4.54,4.54,4.54,4.54,1000
