,GMEB,US,Equity,,,
GMEB,08/21/2006,40.2,40.29,39.15,39.21,242900
GMEB,08/22/2006,39.21,40.16,39.21,39.88,405000
GMEB,08/23/2006,40.4,40.67,39.73,40.18,231700
GMEB,08/24/2006,40.18,40.18,38.46,38.6,176100
GMEB,08/25/2006,38.6,38.6,37.84,38.3,375800
GMEB,08/28/2006,38.45,39.28,38.43,39.08,239800
GMEB,08/29/2006,39.08,39.82,38.5,39.65,112700
GMEB,08/30/2006,39.52,40.22,39.28,40.22,210900
GMEB,08/31/2006,40.35,40.49,39.96,40.4,116400
GMEB,09/01/2006,40.35,40.5,39.65,40.01,306100
GMEB,09/05/2006,39.95,40.75,39.62,40.61,107900
GMEB,09/06/2006,40.41,40.86,40.08,40.47,122200
GMEB,09/07/2006,40.47,40.9,39.44,40.55,159900
GMEB,09/08/2006,41.2,42.1,41.12,41.79,440700
GMEB,09/11/2006,41.85,42.9,41.31,42.69,90500
GMEB,09/12/2006,42.8,45.13,42.47,44.4,182100
GMEB,09/13/2006,44.32,45.48,43.67,45.48,273900
GMEB,09/14/2006,45.26,45.26,43.97,44.7,463400
GMEB,09/15/2006,44.85,45.4,44.36,45.4,456400
GMEB,09/18/2006,45.3,46.35,45.13,45.95,370900
GMEB,09/19/2006,45.85,46.1,44.76,46.01,452500
GMEB,09/20/2006,45.9,46.86,45.75,46.6,837400
GMEB,09/21/2006,46.6,47.56,46.6,46.9,224300
GMEB,09/22/2006,46.7,46.71,43.11,45.65,452300
GMEB,09/25/2006,45.67,46.63,44.7,46.32,397800
GMEB,09/26/2006,46.38,47.01,45.74,46.3,299900
GMEB,09/27/2006,46.25,46.82,45.36,45.56,485800
GMEB,09/28/2006,45.71,46.26,44.76,45,372100
GMEB,09/29/2006,45.07,45.62,44.7,44.71,155400
GMEB,10/02/2006,45.25,45.25,44.29,44.68,96500
GMEB,10/03/2006,44.69,46.07,44.28,45.83,405000
GMEB,10/04/2006,45.76,46.75,45.59,46.75,99900
GMEB,10/05/2006,46.85,47.23,46.15,46.8,100700
GMEB,10/06/2006,46.8,46.8,45.55,46.35,203500
GMEB,10/09/2006,46.05,46.71,45.58,46.54,94100
GMEB,10/10/2006,46.78,46.81,45.87,46.73,1127100
GMEB,10/11/2006,46.68,48.19,46.46,47.77,352100
GMEB,10/12/2006,47.7,49.31,47.7,49.03,102900
GMEB,10/13/2006,49.03,51.15,49.03,50.54,367400
GMEB,10/16/2006,50.85,50.85,50.25,50.52,55300
GMEB,10/17/2006,50.42,50.67,49.51,49.77,120600
GMEB,10/18/2006,50.13,50.61,49.25,49.58,170800
GMEB,10/19/2006,49.6,50.1,49.06,49.79,73800
GMEB,10/20/2006,49.56,50.15,48.95,49.73,142500
GMEB,10/23/2006,49.53,50.61,49,50.44,149900
GMEB,10/24/2006,50.15,50.9,48.59,49.21,246500
GMEB,10/25/2006,49.21,49.5,48.16,48.2,132600
GMEB,10/26/2006,48.63,50.19,48.61,50.1,94100
GMEB,10/27/2006,50.06,50.61,49.69,50.2,37200
GMEB,10/30/2006,50.18,50.18,48.97,49.35,231600
GMEB,10/31/2006,49.45,49.85,48.7,49.75,406100
GMEB,11/01/2006,49.75,49.98,48.5,48.68,140300
GMEB,11/02/2006,48.53,49.31,47.73,48.77,108700
GMEB,11/03/2006,51,52.07,51,51.98,230200
GMEB,11/06/2006,52.06,52.5,51.52,51.71,60400
GMEB,11/07/2006,51.86,52.9,50.85,51.7,201600
GMEB,11/08/2006,51.5,52.32,51.06,51.78,111100
GMEB,11/09/2006,51.9,51.9,50.6,50.68,50000
GMEB,11/10/2006,50.68,51.14,50.38,51.12,142100
GMEB,11/13/2006,51.25,52.15,51.05,51.25,191500
GMEB,11/14/2006,51.29,51.86,50.23,51.85,173900
GMEB,11/15/2006,51.8,52.53,51.24,51.39,48700
GMEB,11/16/2006,51.62,51.67,50.47,50.83,94400
GMEB,11/17/2006,50.86,50.98,49.65,50.2,473000
GMEB,11/20/2006,50.28,51.12,49.18,49.65,699700
GMEB,11/21/2006,48.25,53.5,48.07,51.88,795800
GMEB,11/22/2006,52.04,54.95,52.04,53.93,286200
GMEB,11/24/2006,53.92,55.64,53.92,55.19,105700
GMEB,11/27/2006,55.3,55.3,53.41,53.66,101000
GMEB,11/28/2006,53.45,54.1,52.85,53.2,110400
GMEB,11/29/2006,53.19,54.25,53.19,53.65,95200
GMEB,11/30/2006,53.62,54.86,53.35,54.86,257000
GMEB,12/01/2006,54.76,54.78,53.17,54.01,413900
GMEB,12/04/2006,54.1,55.32,53.95,54.84,103400
GMEB,12/05/2006,54.93,55.94,54.63,55.29,51900
GMEB,12/06/2006,55.3,56.82,55.28,56.15,243300
GMEB,12/07/2006,56.12,56.54,55.41,55.76,134100
GMEB,12/08/2006,55.85,56.87,55.74,56.36,152500
GMEB,12/11/2006,56.26,56.26,55.43,55.84,26500
GMEB,12/12/2006,55.84,56.13,54.82,54.97,115300
GMEB,12/13/2006,55.1,55.52,54.4,54.92,197100
GMEB,12/14/2006,55,55.9,54.97,55.69,348200
GMEB,12/15/2006,55.7,56.15,55.39,55.55,127800
GMEB,12/18/2006,55.66,56,53.98,54.22,459600
GMEB,12/19/2006,54.29,55.06,53.66,54.91,964600
GMEB,12/20/2006,54.9,55.8,54.7,54.91,293500
GMEB,12/21/2006,54.81,55.77,54.81,55.15,143600
GMEB,12/22/2006,55,55.47,54.92,55.1,65200
GMEB,12/26/2006,54.85,54.95,54.25,54.75,48500
GMEB,12/27/2006,54.75,55.9,54.75,55.5,103700
GMEB,12/28/2006,55.35,56.01,55.15,55.6,127600
GMEB,12/29/2006,55.3,55.83,54.76,54.76,113600
GMEB,01/03/2007,54.76,54.93,53.18,54.6,167100
GMEB,01/04/2007,54.88,55.7,54.62,55.23,169500
GMEB,01/05/2007,55.23,55.85,55.16,55.37,117300
GMEB,01/08/2007,55.38,55.48,54.06,54.28,233200
GMEB,01/09/2007,54.37,56.31,54.37,56.21,89800
GMEB,01/10/2007,56,56.59,55.8,56.5,43700
GMEB,01/11/2007,56.75,58,56.75,58,53000
GMEB,01/12/2007,58.13,58.13,57.19,57.58,47400
GMEB,01/16/2007,57.63,58.32,57.4,57.73,51700
GMEB,01/17/2007,57.53,58.16,57.42,57.58,40600
GMEB,01/18/2007,57.34,57.68,56.61,56.64,40400
GMEB,01/19/2007,56.39,56.54,55.52,55.99,73900
GMEB,01/22/2007,55.84,55.95,54.41,54.94,152400
GMEB,01/23/2007,54.92,55.55,54.8,54.86,43100
GMEB,01/24/2007,55.02,56.2,55.02,55.6,169100
GMEB,01/25/2007,55.68,55.8,52.89,53.52,235600
GMEB,01/26/2007,53.75,53.75,51.05,52.17,284600
GMEB,01/29/2007,52.22,53.25,52.08,52.98,92500
GMEB,01/30/2007,53.05,53.48,52.5,52.71,43800
GMEB,01/31/2007,52.7,53.61,52.49,53.46,56300
GMEB,02/01/2007,53.58,54.1,53.52,53.77,894800
GMEB,02/02/2007,53.87,54.61,53.58,53.75,96500
GMEB,02/05/2007,53.7,53.94,52.82,52.98,69500
GMEB,02/06/2007,52.97,53.05,52.25,52.6,63800
GMEB,02/07/2007,52.77,53.96,52.61,53.72,146900
